source_key,institution_name,institution_short_name,country_code,region_code,source_name,base_url,listing_url,source_type,adapter_key,crawl_interval_minutes,language_codes,audience_hints,robots_checked_at,robots_status,terms_status,api_docs_url,rss_feed_url,contact_url,enabled,notes,config_json
src-0027,TÜSEB,,TR,turkiye,TBYS Proje Başvuru Sistemi,https://tbys.tuseb.gov.tr,https://tbys.tuseb.gov.tr/,headless,src-0027_headless_v1,360,tr,,2026-06-25,unknown,unknown,,,,false,,"{""coverage_role"": ""primary"", ""funding_scope"": ""TÜSEB A/B/C and special calls"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0027"", ""priority"": ""1"", ""requires_javascript"": true, ""requires_login"": true, ""source_category"": ""application_portal""}"
src-0028,TKDK,,TR,turkiye,IPARD Çağrı İlanları,https://www.tkdk.gov.tr,https://www.tkdk.gov.tr/,html,src-0028_html_v1,360,tr,development,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Agriculture; rural development; IPARD"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0028"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0029,Tarım ve Orman Bakanlığı,,TR,turkiye,Duyurular ve Destekler,https://www.tarimorman.gov.tr,https://www.tarimorman.gov.tr/,html,src-0029_html_v1,720,tr,development,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Agriculture; R&D; rural development"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0029"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0030,Ticaret Bakanlığı,,TR,turkiye,Destek Yönetim Sistemi,https://destek.ticaret.gov.tr,https://destek.ticaret.gov.tr/,headless,src-0030_headless_v1,360,tr,,2026-06-25,unknown,unknown,,,,false,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Export; services; e-export; internationalisation"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0030"", ""priority"": ""1"", ""requires_javascript"": true, ""requires_login"": true, ""source_category"": ""application_portal""}"
src-0031,Ticaret Bakanlığı,,TR,turkiye,Ticaret Bakanlığı Destekler,https://www.ticaret.gov.tr,https://www.ticaret.gov.tr/destekler,html,src-0031_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Export and company support programmes"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0031"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0032,Sanayi ve Teknoloji Bakanlığı,,TR,turkiye,Duyurular ve Programlar,https://www.sanayi.gov.tr,https://www.sanayi.gov.tr/,html,src-0032_html_v1,720,tr,development,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Industry; technology; investment; regional development"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0032"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0033,Sivil Toplumla İlişkiler Genel Müdürlüğü,,TR,turkiye,Proje Destek Sistemi ve Duyurular,https://www.siviltoplum.gov.tr,https://www.siviltoplum.gov.tr/,html,src-0033_html_v1,720,tr,ngo,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Civil society and association projects"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0033"", ""priority"": ""1"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0034,Gençlik ve Spor Bakanlığı,,TR,turkiye,Gençlik Projeleri Duyuruları,https://www.gsb.gov.tr,https://www.gsb.gov.tr/,html,src-0034_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Youth and sport projects"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0034"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0035,Kültür ve Turizm Bakanlığı,,TR,turkiye,Destekler ve Duyurular,https://www.ktb.gov.tr,https://www.ktb.gov.tr/,html,src-0035_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Culture; arts; tourism; publishing"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0035"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0036,Sinema Genel Müdürlüğü,,TR,turkiye,Sinema Destekleri,https://sinema.ktb.gov.tr,https://sinema.ktb.gov.tr/,html,src-0036_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Film production; distribution; events"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0036"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""programme_portal""}"
src-0037,Yurtdışı Türkler ve Akraba Topluluklar Başkanlığı,,TR,turkiye,YTB Programları,https://www.ytb.gov.tr,https://www.ytb.gov.tr/,html,src-0037_html_v1,720,tr,student,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Diaspora; international students; cultural projects"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0037"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0038,Türkiye Bursları,,TR,turkiye,Türkiye Scholarships,https://www.turkiyeburslari.gov.tr,https://www.turkiyeburslari.gov.tr/,html,src-0038_html_v1,1440,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""International scholarships"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0038"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""programme_portal""}"
src-0039,TENMAK,,TR,turkiye,TENMAK Çağrıları,https://www.tenmak.gov.tr,https://www.tenmak.gov.tr/,html,src-0039_html_v1,720,tr,researcher,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Energy; nuclear; mining; technology research"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0039"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0040,TÜBA,,TR,turkiye,TÜBA Program ve Ödülleri,https://www.tuba.gov.tr,https://www.tuba.gov.tr/,html,src-0040_html_v1,1440,tr,researcher,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Academic awards; scholarships; research support"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0040"", ""priority"": ""3"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0041,İŞKUR,,TR,turkiye,Aktif İşgücü Programları,https://www.iskur.gov.tr,https://www.iskur.gov.tr/,html,src-0041_html_v1,1440,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Employment; vocational training; workplace programmes"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0041"", ""priority"": ""3"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0042,Türk Patent ve Marka Kurumu,,TR,turkiye,Duyurular,https://www.turkpatent.gov.tr,https://www.turkpatent.gov.tr/,html,src-0042_html_v1,1440,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""IP; patents; commercialisation-related opportunities"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0042"", ""priority"": ""3"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0043,Kredi Garanti Fonu,,TR,turkiye,Destek Paketleri,https://www.kgf.com.tr,https://www.kgf.com.tr/,html,src-0043_html_v1,1440,tr,sme,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""SME finance and guarantee programmes"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0043"", ""priority"": ""3"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0044,Eximbank,,TR,turkiye,Programlar ve Krediler,https://www.eximbank.gov.tr,https://www.eximbank.gov.tr/,html,src-0044_html_v1,1440,tr,,2026-06-25,unknown,unknown,,,,true,,"{""coverage_role"": ""primary"", ""funding_scope"": ""Export finance and support"", ""geographic_scope"": ""national"", ""legacy_source_id"": ""SRC-0044"", ""priority"": ""3"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""agency_portal""}"
src-0045,İstanbul Kalkınma Ajansı,,TR,turkiye,İSTKA Destek ve Duyuruları,https://www.istka.org.tr,https://www.istka.org.tr/,html,src-0045_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0045"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0046,Ankara Kalkınma Ajansı,,TR,turkiye,ANKARAKA Destek ve Duyuruları,https://www.ankaraka.org.tr,https://www.ankaraka.org.tr/,html,src-0046_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0046"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0047,İzmir Kalkınma Ajansı,,TR,turkiye,İZKA Destek ve Duyuruları,https://www.izka.org.tr,https://www.izka.org.tr/,html,src-0047_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0047"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0048,Doğu Marmara Kalkınma Ajansı,,TR,turkiye,MARKA Destek ve Duyuruları,https://www.marka.org.tr,https://www.marka.org.tr/,html,src-0048_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0048"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0049,Bursa Eskişehir Bilecik Kalkınma Ajansı,,TR,turkiye,BEBKA Destek ve Duyuruları,https://www.bebka.org.tr,https://www.bebka.org.tr/,html,src-0049_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0049"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0050,Trakya Kalkınma Ajansı,,TR,turkiye,TRAKYAKA Destek ve Duyuruları,https://www.trakyaka.org.tr,https://www.trakyaka.org.tr/,html,src-0050_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0050"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0051,Güney Marmara Kalkınma Ajansı,,TR,turkiye,GMKA Destek ve Duyuruları,https://www.gmka.gov.tr,https://www.gmka.gov.tr/,html,src-0051_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0051"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0052,Güney Ege Kalkınma Ajansı,,TR,turkiye,GEKA Destek ve Duyuruları,https://geka.gov.tr,https://geka.gov.tr/,html,src-0052_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0052"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0053,Batı Akdeniz Kalkınma Ajansı,,TR,turkiye,BAKA Destek ve Duyuruları,https://baka.gov.tr,https://baka.gov.tr/,html,src-0053_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0053"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
src-0054,Mevlana Kalkınma Ajansı,,TR,turkiye,MEVKA Destek ve Duyuruları,https://www.mevka.org.tr,https://www.mevka.org.tr/,html,src-0054_html_v1,720,tr,,2026-06-25,unknown,unknown,,,,true,Also covered by ka.gov.tr; keep as fallback and regional-detail source.,"{""coverage_role"": ""secondary"", ""funding_scope"": ""Regional financial support; technical support; feasibility; guided projects"", ""geographic_scope"": ""subnational"", ""legacy_source_id"": ""SRC-0054"", ""priority"": ""2"", ""requires_javascript"": false, ""requires_login"": false, ""source_category"": ""regional_agency_portal""}"
